Type,Latitude,Longitude
Source,38.8979479,-77.0062458
Destination,38.8858915,-77.047022
Waypoint 1,38.896851863636364,-77.00995272727273
Waypoint 2,38.89575582727272,-77.01365965454545
Waypoint 3,38.89465979090909,-77.01736658181818
Waypoint 4,38.893563754545454,-77.02107350909091
Waypoint 5,38.89246771818182,-77.02478043636364
Waypoint 6,38.89137168181818,-77.02848736363636
Waypoint 7,38.890275645454544,-77.03219429090909
Waypoint 8,38.88917960909091,-77.03590121818182
Waypoint 9,38.888083572727275,-77.03960814545455
Waypoint 10,38.886987536363634,-77.04331507272727
